País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Chile,1991,14.169282993698502,14.441265014689314,1990,28211.04244045372,América do Sul
Chile,1992,13.886076192011542,14.167497530516357,1990,27661.063774486993,América do Sul
Chile,1993,14.306539718415088,14.792212806596654,1990,28512.93365880127,América do Sul
Chile,1994,14.668957332116927,15.156320771514553,1990,29249.90092024115,América do Sul
Chile,1995,14.779593623006718,15.242354556518595,1990,29485.289277898402,América do Sul
Chile,1996,14.490678068631066,15.00148455113905,1990,28923.393424987607,América do Sul
China,2006,3.1354942159291497,6.208590026096629,2000,6289.801397153874,Ásia
China,2007,6.131226489483141,8.351374706721296,2000,12305.371564392664,Ásia
China,2008,8.83331693749932,10.3963223067812,2000,17737.300410498636,Ásia
China,2016,4.6913478822291435,5.365976015021851,2010,9457.757330573953,Ásia
China,2017,6.90875477931522,6.419994928147142,2010,13934.958389878799,Ásia
China,2018,1.791759469228055,6.159095388491933,2010,3615.770608902215,Ásia
China,2019,5.762051382780177,7.807510042216193,2010,11633.581741833177,Ásia
"Coreia do Sul, República",2004,6.111467339502679,6.329720905522696,2000,12247.380548363368,Ásia
"Coreia do Sul, República",2006,6.68586094706836,6.398594934535208,2000,13411.837059819129,Ásia
Croácia,2011,6.111467339502679,9.424564261115739,2010,12290.160819739887,Europa
Croácia,2012,6.447305862541213,9.715469803197292,2010,12971.97939543292,Europa
Croácia,2015,7.635303886259415,8.237479288613633,2010,15385.13733081272,Europa
Croácia,2019,6.111467339502679,7.972810784121404,2010,12339.052558455907,Europa
Croácia,2021,9.761001904239373,11.276633348900743,2020,19726.984848467775,Europa
Croácia,2022,6.78897174299217,10.47908916924103,2020,13727.300864330167,Europa
Croácia,2023,7.010311867307229,9.122710622015209,2020,14181.860907562525,Europa
Cuba,2023,2.1972245773362196,5.568344503761097,2020,4444.985319951172,América do Norte
Emirados Árabes Unidos,2014,3.58351893845611,7.037905963447182,2010,7217.207142050605,Ásia
Emirados Árabes Unidos,2015,6.272877006546167,9.219696466900208,2010,12639.847168190527,Ásia
Emirados Árabes Unidos,2016,7.685243607975833,10.477006245640542,2010,15493.451113679279,Ásia
Eslovênia,2011,8.188966863648876,11.044568479262589,2010,16468.01236279789,Europa
Eslovênia,2012,6.073044534100405,7.1098794630722715,2010,12218.965602610015,Europa
Eslovênia,2013,7.693025748417888,10.138875830266775,2010,15486.060831565208,Europa
Eslovênia,2014,8.340694647925071,10.059550688167716,2010,16798.15902092109,Europa
Eslovênia,2015,8.442685139241176,10.093735942146068,2010,17012.01055557097,Europa
Eslovênia,2016,9.572689189010719,10.757328247537078,2010,19298.54140504561,Europa
